"";"code";"label"
"43";"otras_sustancias_nº2";"(original, Recodificado en otras_sus2)/"
"44";"otras_sustancias_nº3";"(original, Recodificado en otras_sus3)/"
"45";"frecuencia_de_consumo_sustancia_principal";"(original, Recodificado en freq_cons_sus_prin)/"
"46";"edad_inicio_sustancia_principal";"(original, Recodificado en edad_ini_sus_prin)/"
"47";"via_administracion_sustancia_principal";"(original, Recodificado en via_adm_sus_prin)/"
"48";"diagnostico_trs_consumo_sustancia";"Diagnósico de Trastorno por Consumo de Sustancias/Diagnosed of Substance Use Disorder"
"49";"diagnostico_trs_psiquiatrico_dsm_iv";"Diagnóstico de Trastorno Psiquiátrico, Criterios DSM IV/Diagnosis of Psychiatric Disorders, DSM-IV criteria"
"50";"diagnostico_trs_psiquiatrico_sub_dsm_iv";"Diagnóstico de Trastorno Psiquiátrico, Criterios DSM IV (Subclasificacion)/Diagnosis of Psychiatric Disorders, DSM-IV criteria (sub-classification)"
"51";"x2_diagnostico_trs_psiquiatrico_dsm_iv";"Diagnóstico de Trastorno Psiquiátrico, Criterios DSM IV (2)/Diagnosis of Psychiatric Disorders, DSM-IV criteria (2)"
"52";"x2_diagnostico_trs_psiquiatrico_sub_dsm_iv";"Diagnóstico de Trastorno Psiquiátrico, Criterios DSM IV (Subclasificacion) (2)/Diagnosis of Psychiatric Disorders, DSM-IV criteria (sub-classification) (2)"
"53";"x3_diagnostico_trs_psiquiatrico_dsm_iv";"Diagnóstico de Trastorno Psiquiátrico, Criterios DSM IV (3)/Diagnosis of Psychiatric Disorders, DSM-IV criteria (3)"
"54";"x3_diagnostico_trs_psiquiatrico_sub_dsm_iv";"Diagnóstico de Trastorno Psiquiátrico, Criterios DSM IV (Subclasificacion) (3)/Diagnosis of Psychiatric Disorders, DSM-IV criteria (sub-classification) (3)"
"55";"diagnostico_trs_psiquiatrico_cie_10";"Diagnóstico de Trastorno Psiquiátrico, Criterios CIE-10/Diagnosis of Psychiatric Disorders, CIE-10 criteria"
"56";"diagnostico_trs_psiquiatrico_sub_cie_10";"Diagnóstico de Trastorno Psiquiátrico, Criterios CIE-10 (Subclasificacion)/Diagnosis of Psychiatric Disorders, CIE-10 criteria (subclassification)"
"57";"x2_diagnostico_trs_psiquiatrico_cie_10";"Diagnóstico de Trastorno Psiquiátrico, Criterios CIE-10 (2)/Diagnosis of Psychiatric Disorders, CIE-10 criteria (2)"
"58";"x2_diagnostico_trs_psiquiatrico_sub_cie_10";"Diagnóstico de Trastorno Psiquiátrico, Criterios CIE-10 (Subclasificacion) (2)/Diagnosis of Psychiatric Disorders, CIE-10 criteria (subclassification) (2)"
"59";"x3_diagnostico_trs_psiquiatrico_cie_10";"Diagnóstico de Trastorno Psiquiátrico, Criterios CIE-10 (3)/Diagnosis of Psychiatric Disorders, CIE-10 criteria (3)"
"60";"x3_diagnostico_trs_psiquiatrico_sub_cie_10";"Diagnóstico de Trastorno Psiquiátrico, Criterios CIE-10 (Subclasificacion) (3)/Diagnosis of Psychiatric Disorders, CIE-10 criteria (subclassification) (3)"
"61";"diagnostico_trs_fisico";"Diagnóstico de Trastorno Físico/Diagnosis of Physical Disorder"
"62";"otros_problemas_de_atencion_de_salud_mental";"Otros Problemas de Atención Vinculados a Salud Mental/Other problems linked to Mental Health"
"63";"compromiso_biopsicosocial";"Compromiso Biopsicosocial/Biopsychosocial Involvement"
"64";"diagnostico_global_de_necesidades_de_integracion_social";"Diagnóstico Global de Necesidades de Integración Social/Global Diagnosis of Social Integration"
"65";"diagnostico_de_necesidades_de_integrac_io_n_social_en_capital_humano";"Diagnóstico de Necesidades de Integración Social en Capital Humano/Global Diagnosis of Social Integration in Human Capital"
"66";"diagnostico_de_necesidades_de_integrac_io_n_social_en_capital_fisico";"Diagnóstico de Necesidades de Integración Social en Capital Físico/Global Diagnosis of Social Integration in Physical Capital"
"67";"diagnostico_de_necesidades_de_integrac_io_n_social_en_capital_social";"Diagnóstico de Necesidades de Integración Social en Capital Social/Global Diagnosis of Social Integration in Social Capital"
"68";"fech_ing";"Fecha de Ingreso a Tratamiento/Date of Admission to Treatment"
"69";"fecha_ingreso_a_convenio_senda";"Fecha de Ingreso a Convenio SENDA (aún no formateada como fecha)/Date of Admission to SENDA Agreement"
"70";"usuario_de_tribunales_tratamiento_drogas";"Usuario de modalidad Tribunales de Tratamiento de Drogas/User of Drug Treatment Courts Modality"
"71";"consentimiento_informado";"Consentimiento Informado/Informed Consent"
"72";"fech_egres";"Fecha de Egreso de Tratamiento/Date of Discharge from Treatment"
"73";"motivodeegreso";"Motivo de Egreso/Cause of Discharge"
"74";"tipo_centro_derivacion";"Tipo de Centro al que el Usuario es Derivado/Type of Center of Derivation"
"75";"evaluacindelprocesoteraputico";"Evaluación del Proceso Terapéutico/Evaluation of the Therapeutic Process"
"76";"eva_consumo";"Evaluación al Egreso Respecto al Patrón de consumo/Evaluation at Discharge regarding to Consumption Pattern"
"77";"eva_fam";"Evaluación al Egreso Respecto a Situación Familiar/Evaluation at Discharge regarding to Family Situation"
"78";"eva_relinterp";"Evaluación al Egreso Respecto a Relaciones Interpersonales/Evaluation at Discharge regarding to Interpersonal Relations"
"79";"eva_ocupacion";"Evaluación al Egreso Respecto a Situación Ocupacional/Evaluation at Discharge regarding to Occupational Status"
"80";"eva_sm";"Evaluación al Egreso Respecto a Salud Mental/Evaluation at Discharge regarding to Mental Health"
"81";"eva_fisica";"Evaluación al Egreso Respecto a Salud Física/Evaluation at Discharge regarding to Physical Health"
"82";"eva_transgnorma";"Evaluación al Egreso Respecto a Trasgresión a la Norma Social/Evaluation at Discharge regarding to Transgression to the Norm"
"83";"diagnostico_trastorno_psiquiatrico_cie_10_al_egreso";"(Sólo presenta valores perdidos)/"
"84";"diagnostico_global_de_necesidades_de_integracion_social_1";"Diagnóstico Global de Necesidades de Integración Social (1)/Global Diagnosis of Social Integration (1)"
"85";"diagnostico_de_necesidades_de_integrac_io_n_social_en_capital_humano_1";"Diagnóstico de Necesidades de Integración Social en Capital Humano (1)/Global Diagnosis of Social Integration in Human Capital (1)"
"86";"diagnostico_de_necesidades_de_integrac_io_n_social_en_capital_fisico_1";"Diagnóstico de Necesidades de Integración Social en Capital Físico (1)/Global Diagnosis of Social Integration in Physical Capital (1)"
"87";"diagnostico_de_necesidades_de_integrac_io_n_social_en_capital_social_1";"Diagnóstico de Necesidades de Integración Social en Capital Social (1)/Global Diagnosis of Social Integration in Social Capital (1)"
"88";"tiene_menores_de_edad_a_cargo";"Menores de Edad A Cargo/Minor Dependants"
"89";"motivo_de_egreso_alta_administrativa";"Motivo de Egreso Alta Administrativa/Cause of Administrative Discharge"
"90";"consorcio";"Sociedades de Tratamiento, Servicios de Salud, Fundaciones, entre otras entidades encargadas de los centros/Consortium"
"91";"id_centro";"ID de Centro/Center ID"
"92";"ha_estado_embarazada_egreso";"¿Ha estado embarazada? (al Egreso)/Have you been Pregnant (at Discharge)"
"93";"identidad_de_genero";"Identidad de Género/Gender Identity"
"94";"discapacidad";"Presenta Discapacidad/Disability"
"95";"hash_rut_completo";"HASH alternativo, en el escenario en que se asuma que el individuo al que se le codificó el RUT presente mayor edad/Alternative HASH-Key"
"96";"opcion_discapacidad";"Origen de Discapacidad/Cause of Disability"
"97";"sexo_2";"Sexo Usuario/Sex of User"
"98";"embarazo";"Embarazo/Pregnant"
"99";"tipo_de_plan_2";"Tipo de Plan/Type of Plan"
"100";"tipo_de_programa_2";"Tipo de Programa de Tratamiento/Type of Program"
"101";"fech_egres_sin_fmt";"Fecha de Egreso de Tratamiento (Sin Formato de Fecha)/Date of Discharge"
"102";"id_mod";"ID de SENDA para Presentación en Página Web (enmascara caracteres 5 y 6)/SENDAs ID (mask characters 5 & 6)"
"103";"ano_nac";"Año de Nacimiento (numérico)/Year of Birth (numeric)"
"104";"fech_ing_ano";"Año de Ingreso (numérico)/Year of Admission (numeric)"
"105";"fech_ing_mes";"Mes de Ingreso (numérico)/Month of Admission (numeric)"
"106";"fech_ing_dia";"Día de Ingreso (numérico)/Day of Admission (numeric)"
"107";"concat";"ID de SENDA y HASH Concatenado (permite discriminar más de un HASH en un mismo ID)/Combination of SENDAs ID & HASH"
"108";"dias_trat_inv";"Días de Tratamiento Invertidos (fecha más reciente, menor valor numérico)/Treatment Days (Reversed)"
"109";"fech_nac";"Fecha de Nacimiento/Date of Birth"
"110";"edad_al_ing";"Edad a la Fecha de Ingreso a Tratamiento (numérico continuo)/Age at Admission to Treatment"
"111";"edad_ini_cons";"Edad de Inicio de Consumo/ Age of Onset of Drug Use"
"112";"edad_ini_sus_prin";"Edad de Inicio de Consumo Sustancia Principal/ Age of Onset of Drug Use Principal Substance"
"113";"dias_trat_alta_temprana";"Días de tratamiento (<90)/ Less than 90 days in treatment"
"114";"motivodeegreso_mod";"Motivo de Egreso (con abandono temprano y tardío)/Cause of Discharge (with late and early withdrawal)"
"115";"sus_principal";"Sustancia Principal de Consumo/Main Substance of Consumption"
"116";"otras_sus1";"Otras Sustancias (1)/Other Substances (1)"
"117";"otras_sus2";"Otras Sustancias (2)/Other Substances (2)"
"118";"otras_sus3";"Otras Sustancias (3)/Other Substances (3)"
"119";"sus_ini";"Sustancia de Inicio/Starting Substance"
"120";"estado_conyugal_2";"Estado Conyugal/Marital Status"
"121";"estatus_ocupacional";"Condición Ocupacional/Occupational Status"
"122";"cat_ocupacional";"Categoría Ocupacional/Occupational Category"
"123";"edad_grupos";"Edad agrupada/Age in groups"
"124";"origen_ingreso";"Origen de Ingreso/Motive of Admission to Treatment"
"125";"escolaridad";"Escolaridad: Nivel Eduacional/Educational Attainment"
"126";"via_adm_sus_prin";"Vía de Administración de la Sustancia Principal/Route of Administration of the Main Substance"
"127";"freq_cons_sus_prin";"Frecuencia de Consumo de la Sustancia Principal/Frequency of Consumption of the Main Substance"
"128";"fech_egres_imp";"Date of Discharge (Imputed)"
"129";"dias_trat_imp";"Days of Treatment (Imputed)"
"130";"dias_trat_alta_temprana_imp";"Days of Treatment for Early Withdrawal (Imputed)"
"131";"motivodeegreso_mod_imp";"Cause of Discharge w/ Early or Late Withdrawal (Imputed)"
